X,Y,OBJECTID,ESTABLISH,LOCATION,LICENSE_TY,ESTABLISHMENTID
3111648.15039536356926,1444863.650268986821175,164,Simply Thai,"2531 South Shields Street, 2-M",Beer and Wine,3276
3118473.280785724520683,1465668.689696356654167,165,Serious Texas Bar-B-Q,"1820 North College Avenue, Unit 180",Hotel-Restaurant,3277
3117145.069856479763985,1449411.770113214850426,166,Black Bottle Brewery,"1611 South College Avenue, 1605/1609",Brew Pub,3281
3117032.180320382118225,1456827.759544119238853,167,Pinot's Palette,159 West Mountain Avenue,Beer and Wine,3283
3106757.584726810455322,1452784.374916359782219,168,Cheba Hut Toasted Subs,"925 South Taft Hill Road, #6",Hotel-Restaurant,3284
3117615.660448923707008,1453794.229525297880173,169,Cheba Hut Toasted Subs,104 East Laurel Street,Hotel-Restaurant,3285
3117719.994225025177002,1435282.866948053240776,170,Applebee's Neighborhood Grill and Bar,4306 South College Avenue,Hotel-Restaurant,3293
3118102.44097737967968,1457385.409688651561737,171,"Blind Pig Pub, The",214 Linden Street,Hotel-Restaurant,3294
3101921.642946302890778,1449741.633633524179459,172,Liquor Kabinet,3035 West Prospect Road,Retail Liquor Store,3295
3131335.069693699479103,1434040.020674899220467,173,BJ's Restaurant & Brewhouse,2670 East Harmony Road,Hotel-Restaurant,3296
3128604.779547154903412,1444196.390460357069969,174,William Oliver's Publick House,"2608 South Timberline Road, Suite 108",Tavern,3297
3116887.999168246984482,1433029.161809965968132,175,Walmart Market #3177,4625 South Mason Street,Fermented Malt Beverage (off-premises),3304
3117652.080976963043213,1453608.509749129414558,176,Fat Shack,"706 South College Avenue, Suite 102",Hotel-Restaurant,3306
3117347.869968667626381,1457867.049465090036392,177,Scrumpy's,"215 North College Avenue, Unit A",Hotel-Restaurant,3308
3117813.8805291056633,1457100.529016375541687,178,Social,1 Old Town Square Suite 7,Hotel-Restaurant,3310
3111766.264011472463608,1452337.356131941080093,179,JAWS Sushi,1205-A West Elizabeth Street,Hotel-Restaurant,3311
3117836.73054513335228,1461035.63958004117012,180,Poudre Liquors,814 North College Avenue,Retail Liquor Store,3312
3117357.690496683120728,1443902.260460093617439,181,Tortilla Marissa's,2635 South College Avenue,Hotel-Restaurant,3313
3117615.430128917098045,1453884.519701391458511,182,"Colorado Room, The",642 South College Avenue,Hotel-Restaurant,3314
3116678.303728044033051,1433412.635778322815895,183,El Pueblito,"4619 South Mason Street, Unit C-8",Hotel-Restaurant,3315
3117344.240720674395561,1456760.289208069443703,184,"Mainline, The",125 South College Avenue,Hotel-Restaurant,3320
3122407.250597387552261,1433306.940786212682724,185,Fish's Liquor Mart,1007 East Harmony Road,Retail Liquor Store,3325
3117832.900497123599052,1433686.360626578330994,186,Harmony Liquor,"115 East Harmony Road, #100",Retail Liquor Store,3329
3117677.110128983855247,1457676.779512912034988,187,"Welsh Rabbit Cheese Bistro, The","200 Walnut Street, Unit B",Hotel-Restaurant,3330
3132523.21921481192112,1433564.589874461293221,188,Fuzzy's Taco Shop,"2909 East Harmony Road, #100",Hotel-Restaurant,3331
3117329.229920655488968,1456348.689319685101509,189,Blue Agave Grill,"201 South College Avenue, Suite 100",Hotel-Restaurant,3332
3112975.480092599987984,1452826.769188404083252,190,Ovations at Bob Davis Banquet Hall,951 West Plum Street,Beer and Wine,3333
3117593.310096904635429,1457117.329832389950752,191,"Kitchen, The",100 North College/106 East Mountain,Hotel-Restaurant,3338
3118164.230225428938866,1457334.949816599488258,192,Illegal Pete's,320 Walnut Street,Hotel-Restaurant,3339
3117593.310096904635429,1457117.329512387514114,193,Pinball Jones,107 Linden Street,Beer and Wine,3341
3122659.610341623425484,1443620.30073182284832,194,Rise! A Breakfast Place,"2601 South Lemay Avenue, #31",Hotel-Restaurant,3343
3117106.417696446180344,1433070.25195400416851,195,Neighborhood Liquor,"4631 South Mason Street, Suite B2",Retail Liquor Store,3346
3117037.730176389217377,1445463.560173541307449,196,Mulligans Pub and Sports Club,2439 South College Avenue,Hotel-Restaurant,3348
3129811.409676283597946,1433992.720578864216805,197,Zquila Mexican Restaurant,"2400 East Harmony, Suite 101",Hotel-Restaurant,3349
3117876.790497168898582,1439715.250472187995911,198,Trader Joe's #304,"3500 South College Avenue, #110",Fermented Malt Beverage (off-premises),3353
3121982.35021299123764,1433729.620386615395546,199,La Buena Vida,"901 East Harmony Road, Unit 140",Hotel-Restaurant,3358
3112098.93297179043293,1452267.302131876349449,200,Butters A.M. Eatery,1103 WEST ELIZABETH STREET,Hotel-Restaurant,3360
3117734.650689035654068,1436819.500677496194839,201,3 Margaritas,4010 South College Avenue,Hotel-Restaurant,3361
3122301.110725283622742,1444141.140572309494019,202,"Fox and The Crow, The","2601 SOUTH LEMAY AVENUE, SUITE 9",Beer and Wine,3362
